City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Igarka,RU,3.33,67.4667,86.5833,"Zapolyar'ye, Gostinitsa"
1,Mpanda,TZ,73.06,-6.3655,31.0409,CH Hotel - Mpanda
2,Dikson,RU,20.68,73.5069,80.5464,
3,Albany,US,57.58,42.6001,-73.9662,
4,Atuona,PF,77.54,-9.8,-139.0333,Villa Enata
5,Bagdarin,RU,15.82,54.4333,113.6,Gostevoy Dom Terem
6,Rikitea,PF,70.07,-23.1203,-134.9692,People ThankYou
7,Busselton,AU,61.41,-33.65,115.3333,Observatory Guest House
8,Payson,US,38.59,40.0444,-111.7321,Quality Inn Payson I-15
9,Qaanaaq,GL,8.15,77.484,-69.3632,Qaanaaq Hotel
10,Saldanha,ZA,61.29,-33.0117,17.9442,Blue Bay Lodge
11,Alyangula,AU,87.31,-13.8483,136.4192,Groote Eylandt Lodge
12,Saskylakh,RU,13.08,71.9167,114.0833,
13,Sisimiut,GL,24.98,66.9395,-53.6735,Hotel Sisimiut
14,Gazli,UZ,53.96,40.1333,63.45,UTG Uy-joy kommunal xoʻjaligi
15,Bathsheba,BB,80.1,13.2167,-59.5167,Atlantis Hotel
16,Ushuaia,AR,58.66,-54.8,-68.3,Albatross Hotel
17,Huilong,CN,59.94,31.8111,121.655,Hilton Garden Inn Qidong
18,Olyka,UA,45.16,50.7186,25.8125,
19,Mataura,NZ,53.96,-46.1927,168.8643,Ellie's Villa
20,Hermanus,ZA,65.8,-34.4187,19.2345,Misty Waves Boutique Hotel
21,Sur,OM,76.93,22.5667,59.5289,Sur Plaza Hotel
22,Port Elizabeth,ZA,67.1,-33.918,25.5701,39 On Nile Guest House
23,Arrecife,ES,67.98,28.963,-13.5477,Hotel Lancelot
24,Ribeira Grande,PT,67.77,38.5167,-28.7,Quinta da Meia Eira
25,Lompoc,US,62.94,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
26,Carnarvon,AU,71.78,-24.8667,113.6333,Hospitality Carnarvon
27,Mangrol,IN,77.41,21.1167,70.1167,Hotel The Royal Honours
28,Naze,JP,69.48,28.3667,129.4833,Shishime Hotel
29,Saint George,US,49.95,37.1041,-113.5841,Best Western Plus Abbey Inn
30,Hualmay,PE,63.72,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
31,Tasiilaq,GL,32.16,65.6145,-37.6368,The Red House
33,College,US,15.08,64.8569,-147.8028,Pike's Waterfront Lodge
34,Punta Arenas,CL,60.91,-53.15,-70.9167,Hotel Hain
35,Tuktoyaktuk,CA,4.59,69.4541,-133.0374,End of The Road Ltd.
36,Kodiak,US,35.92,57.79,-152.4072,Best Western Kodiak Inn
37,Manokwari,ID,83.44,-0.8667,134.0833,Swiss Belhotel Manokwari
38,Thompson,CA,17.76,55.7435,-97.8558,Burntwood Hotel
39,Ancud,CL,52.43,-41.8697,-73.8203,Hotel Arena Gruesa
41,Berlevag,NO,44.6,70.8578,29.0864,Kvitbrakka
42,Canavieiras,BR,69.33,-15.675,-38.9472,Bahiadomizil
43,Souillac,MU,71.64,-20.5167,57.5167,Shanti Maurice Resort & Spa
44,Hilo,US,73.26,19.7297,-155.09,Hilo Hawaiian Hotel
46,Leshukonskoye,RU,18.18,64.8989,45.7622,Pryalitsa Hostel
47,Bethel,US,56.91,41.3712,-73.414,Courtyard by Marriott Danbury
48,Bredasdorp,ZA,63.52,-34.5322,20.0403,Bredasdorp Country Manor
